# avTemp, avVisc, modeltime, Nu, step, surfVRMS, VRMS, yielding
4.999916670833042809e-01,3.140335680417957064e+03,0.000000000000000000e+00,1.000099999582831467e+00,0.000000000000000000e+00,5.061263920437644614e+00,2.196548706462810117e+02,2.715516733604798547e-02
5.000024990464981833e-01,3.017988219501488857e+03,7.284041915159757271e-05,1.001403829265949508e+00,1.000000000000000000e+01,7.226471510955096100e+00,2.602205018760972735e+02,3.437571526040674591e-02
5.000247031442062173e-01,2.991556663587653929e+03,1.328312313320250987e-04,1.002640090222434832e+00,2.000000000000000000e+01,7.683183139879804280e+00,3.085228028757080097e+02,3.623548618396701948e-02
5.000563529624334480e-01,2.966534442667829353e+03,1.842639623140985455e-04,1.003765210962865417e+00,3.000000000000000000e+01,8.136807774106209479e+00,3.554371749483225926e+02,3.821582449269974452e-02
5.000971344089336634e-01,2.942209891581981537e+03,2.302773335582643742e-04,1.004830684333268165e+00,4.000000000000000000e+01,8.595142088159873239e+00,3.971804001714712626e+02,3.964079290630092428e-02
5.001475699071963321e-01,2.918134281651163747e+03,2.732944092607468632e-04,1.005883907115628029e+00,5.000000000000000000e+01,9.066432200583241396e+00,4.289830473768155343e+02,4.128805965164628750e-02
5.002059411612231887e-01,2.894601125601289823e+03,3.134164632464563950e-04,1.006921180255287096e+00,6.000000000000000000e+01,9.550251754441024588e+00,4.455011031249553639e+02,4.293080503314902763e-02
5.002703581305240066e-01,2.872782995602472965e+03,3.511327301878217045e-04,1.007948167819933349e+00,7.000000000000000000e+01,1.002134796572797448e+01,4.457354640992878103e+02,4.443866317507912805e-02
5.003423724483080370e-01,2.852013183819765345e+03,3.885705761573258164e-04,1.009018272703866570e+00,8.000000000000000000e+01,1.048348441321236990e+01,4.328946796859628989e+02,4.592240784423873290e-02
5.004243510565211661e-01,2.831839915922016189e+03,4.274472078407312949e-04,1.010182450849343994e+00,9.000000000000000000e+01,1.094981452693293811e+01,4.109545797220073950e+02,4.711377333047089139e-02
5.005193782614753006e-01,2.811999718758559084e+03,4.692475325104529440e-04,1.011492521680809498e+00,1.000000000000000000e+02,1.142790966121982699e+01,3.838046809190495310e+02,4.845886303226491776e-02
5.006307921847338305e-01,2.792174810316298590e+03,5.152186459906464046e-04,1.013000365589772356e+00,1.100000000000000000e+02,1.192319195510486729e+01,3.547008737149496937e+02,4.954246984957157152e-02
5.007618731609568830e-01,2.772092745135061250e+03,5.662512206762396888e-04,1.014753283286474739e+00,1.200000000000000000e+02,1.244190382856240618e+01,3.260811032760726107e+02,5.094181367403152055e-02
5.009150245167323101e-01,2.752085055320170795e+03,6.227029803707655143e-04,1.016785520314081870e+00,1.300000000000000000e+02,1.298211888265579894e+01,2.996538342025820612e+02,5.208118184529444972e-02
5.010908913829388300e-01,2.732449592915221274e+03,6.842276352584630546e-04,1.019107301628094930e+00,1.400000000000000000e+02,1.353425752529306081e+01,2.763398958880604255e+02,5.310374896060366529e-02
