# avTemp, avVisc, modeltime, Nu, step, surfVRMS, VRMS, yielding
4.999916670833042809e-01,2.811460003632654661e+03,0.000000000000000000e+00,1.000099999582831467e+00,0.000000000000000000e+00,5.061263920437644614e+00,2.196548706462810117e+02,4.539346181619646758e-02
5.000025215344270357e-01,2.594461601950509248e+03,7.265751714204869921e-05,1.001954612728402916e+00,1.000000000000000000e+01,1.080568428664503244e+01,2.611086908144076233e+02,5.940724236923232426e-02
5.000246498412497242e-01,2.566525410460261355e+03,1.324882068344767879e-04,1.003800782666406821e+00,2.000000000000000000e+01,1.162882586242414007e+01,3.095987326012705125e+02,6.133030293270114175e-02
5.000561645392638255e-01,2.539874501980518744e+03,1.837822506759341490e-04,1.005501833306496007e+00,3.000000000000000000e+01,1.244009075261922526e+01,3.567604982110299261e+02,6.325034835849829840e-02
5.000967756472536330e-01,2.514319614940585325e+03,2.296614481630383461e-04,1.007130664864192005e+00,4.000000000000000000e+01,1.326791631543592409e+01,3.988031995892652617e+02,6.509880599973519311e-02
5.001470092558507607e-01,2.489185245474562635e+03,2.725382256775914268e-04,1.008759129096698404e+00,5.000000000000000000e+01,1.413200620829658760e+01,4.309456322675947604e+02,6.663077084516823290e-02
5.002050570450872202e-01,2.464630717026388083e+03,3.124699163688855644e-04,1.010378623218151306e+00,6.000000000000000000e+01,1.502109531609081117e+01,4.478073653627583326e+02,6.831646022070782254e-02
5.002690687741082609e-01,2.442111401527110502e+03,3.499842696246114443e-04,1.011998202788146450e+00,7.000000000000000000e+01,1.589049382733088400e+01,4.483942999986237510e+02,7.005037647835167525e-02
5.003405543142285250e-01,2.420973419990423281e+03,3.871926366672022099e-04,1.013702078596261602e+00,8.000000000000000000e+01,1.675366181729690496e+01,4.358925475568238994e+02,7.186341459776407481e-02
5.004218143241293548e-01,2.400100590789556463e+03,4.257943666700764185e-04,1.015573826971530202e+00,9.000000000000000000e+01,1.763842776186289640e+01,4.142756373630762141e+02,7.307737911802911213e-02
5.005159727009851345e-01,2.379350284456329973e+03,4.672525975527108493e-04,1.017699159635905071e+00,1.000000000000000000e+02,1.855858101888330225e+01,3.874197165338002264e+02,7.458824394482717335e-02
