# avTemp, avVisc, modeltime, Nu, step, surfVRMS, VRMS, yielding
4.999916670833042809e-01,3.368106287766836431e+03,0.000000000000000000e+00,1.000099999582831467e+00,0.000000000000000000e+00,5.061263920437644614e+00,2.196548706462810117e+02,4.357070429922196148e-03
5.000025517626502936e-01,3.358203047583484476e+03,7.293348391648864172e-05,1.001107995753760527e+00,1.000000000000000000e+01,5.360162325794148863e+00,2.597882061369004987e+02,5.262846135770987178e-03
5.000248497167173456e-01,3.350852602071961428e+03,1.330057169924828869e-04,1.002025508883902072e+00,2.000000000000000000e+01,5.581332756564728825e+00,3.079770091997389727e+02,6.670490695680299231e-03
5.000565564952574871e-01,3.343164596771143806e+03,1.845101399304772331e-04,1.002845360596799074e+00,3.000000000000000000e+01,5.801522069887521837e+00,3.547628630251965092e+02,7.723963413732643987e-03
5.000974104279425347e-01,3.335239994530789318e+03,2.305929660134329868e-04,1.003608191444926856e+00,4.000000000000000000e+01,6.017733274360194784e+00,3.963466365386593111e+02,8.689269809204251682e-03
5.001479443410314918e-01,3.326741045358974588e+03,2.736835271783175897e-04,1.004349149776465611e+00,5.000000000000000000e+01,6.235851044953175659e+00,4.279661970243191718e+02,9.913045818804798806e-03
5.002064846908835793e-01,3.317845642145174224e+03,3.139069046153955306e-04,1.005066994152873150e+00,6.000000000000000000e+01,6.455335727466024132e+00,4.442965281271833646e+02,1.093034724473721138e-02
5.002711233027152815e-01,3.309078245897402212e+03,3.517310530648221057e-04,1.005766123650397859e+00,7.000000000000000000e+01,6.668930457034084824e+00,4.443420090236148212e+02,1.205013217548469261e-02
5.003434244302139566e-01,3.300271629090223996e+03,3.892921721585142908e-04,1.006483536576697535e+00,8.000000000000000000e+01,6.872875296308087911e+00,4.313175242877326241e+02,1.303503039570660937e-02
5.004257677223502565e-01,3.291322631483651094e+03,4.283172802971805387e-04,1.007252558938949383e+00,9.000000000000000000e+01,7.073353015429221458e+00,4.092053838186644157e+02,1.377652969081816572e-02
